Country_code,Country,COVID_VACCINE_ADM_TOT_A1D,COVID_VACCINE_ADM_TOT_BOOST,COVID_VACCINE_ADM_TOT_CPS,COVID_VACCINE_ADM_TOT_DOSES,COVID_VACCINE_ADM_TOT_DOSES_PER100,COVID_VACCINE_COV_TOT_A1D,COVID_VACCINE_COV_TOT_BOOST,COVID_VACCINE_COV_TOT_CPS,COVID_VACCINE_DATE_INTRO_FIRST,COVID_VACCINE_DATE_REPORT_TOT_LAST,DATE
BTN,Bhutan,187866.0,0.0,0.0,187866.0,24.0,24.0,0.0,0.0,2021-03-27,2022-10-30,2021-03-28
BTN,Bhutan,480836.0,0.0,0.0,480836.0,62.0,62.0,0.0,0.0,2021-03-27,2022-10-30,2021-04-25
BTN,Bhutan,483092.0,0.0,0.0,483092.0,63.0,63.0,0.0,0.0,2021-03-27,2022-10-30,2021-05-30
BTN,Bhutan,484797.0,0.0,490.0,485619.0,63.0,63.0,0.0,0.0,2021-03-27,2022-10-30,2021-06-27
BTN,Bhutan,530103.0,0.0,470465.0,1000568.0,130.0,69.0,0.0,61.0,2021-03-27,2022-10-30,2021-07-25
BTN,Bhutan,567148.0,0.0,477951.0,1045100.0,135.0,74.0,0.0,62.0,2021-03-27,2022-10-30,2021-08-29
BTN,Bhutan,584818.0,0.0,497517.0,1082335.0,140.0,76.0,0.0,64.0,2021-03-27,2022-10-30,2021-09-26
BTN,Bhutan,588307.0,0.0,559839.0,1148146.0,149.0,76.0,0.0,73.0,2021-03-27,2022-10-30,2021-10-31
BTN,Bhutan,589291.0,0.0,564417.0,1153709.0,150.0,76.0,0.0,73.0,2021-03-27,2022-10-30,2021-11-28
BTN,Bhutan,591944.0,0.0,568191.0,1160134.0,150.0,77.0,0.0,74.0,2021-03-27,2022-10-30,2021-12-26
BTN,Bhutan,594009.0,274060.0,570814.0,1438884.0,186.0,77.0,36.0,74.0,2021-03-27,2022-10-30,2022-01-30
BTN,Bhutan,599054.0,424517.0,574887.0,1598457.0,207.0,78.0,55.0,75.0,2021-03-27,2022-10-30,2022-02-27
BTN,Bhutan,689418.0,530095.0,582157.0,1801669.0,233.0,89.0,69.0,75.0,2021-03-27,2022-10-30,2022-03-27
BTN,Bhutan,692549.0,542552.0,671505.0,1906606.0,247.0,90.0,70.0,87.0,2021-03-27,2022-10-30,2022-04-24
BTN,Bhutan,692803.0,543968.0,672262.0,1909033.0,247.0,90.0,70.0,87.0,2021-03-27,2022-10-30,2022-05-29
BTN,Bhutan,692996.0,545280.0,672722.0,1910998.0,248.0,90.0,71.0,87.0,2021-03-27,2022-10-30,2022-06-26
BTN,Bhutan,694208.0,549912.0,673485.0,1917605.0,249.0,90.0,71.0,87.0,2021-03-27,2022-10-30,2022-07-31
BTN,Bhutan,695683.0,556971.0,674855.0,1927509.0,250.0,90.0,72.0,87.0,2021-03-27,2022-10-30,2022-08-28
BTN,Bhutan,698096.0,621051.0,676991.0,1996138.0,259.0,90.0,80.0,88.0,2021-03-27,2022-10-30,2022-09-25
BTN,Bhutan,699116.0,634641.0,677669.0,2011426.0,261.0,91.0,82.0,88.0,2021-03-27,2022-10-30,2022-10-30
BTN,Bhutan,699116.0,634641.0,677669.0,2011426.0,261.0,91.0,82.0,88.0,2021-03-27,2022-10-30,2022-11-27
BTN,Bhutan,699116.0,634641.0,677669.0,2011426.0,261.0,91.0,82.0,88.0,2021-03-27,2022-10-30,2022-12-25
BTN,Bhutan,699116.0,634641.0,677669.0,2011426.0,261.0,91.0,82.0,88.0,2021-03-27,2022-10-30,2023-01-29
BTN,Bhutan,699116.0,634641.0,677669.0,2011426.0,261.0,91.0,82.0,88.0,2021-03-27,2022-10-30,2023-02-26
BTN,Bhutan,699116.0,634641.0,677669.0,2011426.0,261.0,91.0,82.0,88.0,2021-03-27,2022-10-30,2023-03-26
BTN,Bhutan,699116.0,634641.0,677669.0,2011426.0,261.0,91.0,82.0,88.0,2021-03-27,2022-10-30,2023-04-30
BTN,Bhutan,699116.0,634641.0,677669.0,2011426.0,261.0,91.0,82.0,88.0,2021-03-27,2022-10-30,2023-05-28
BTN,Bhutan,699116.0,634641.0,677669.0,2011426.0,261.0,91.0,82.0,88.0,2021-03-27,2022-10-30,2023-06-25
BTN,Bhutan,699116.0,634641.0,677669.0,2011426.0,261.0,91.0,82.0,88.0,2021-03-27,2022-10-30,2023-07-30
BTN,Bhutan,699116.0,634641.0,677669.0,2011426.0,261.0,91.0,82.0,88.0,2021-03-27,2022-10-30,2023-08-27
BTN,Bhutan,699116.0,634641.0,677669.0,2011426.0,261.0,91.0,82.0,88.0,2021-03-27,2022-10-30,2023-09-24
BTN,Bhutan,699116.0,634641.0,677669.0,2011426.0,261.0,91.0,82.0,88.0,2021-03-27,2022-10-30,2023-10-29
BTN,Bhutan,699116.0,634641.0,677669.0,2011426.0,261.0,91.0,82.0,88.0,2021-03-27,2022-10-30,2023-11-26
NAM,Namibia,496475.0,64392.0,426681.0,825518.0,32.0,20.0,3.0,17.0,2021-03-19,2023-12-31,2022-05-29
NAM,Namibia,501862.0,69648.0,431660.0,838263.0,33.0,20.0,3.0,17.0,2021-03-19,2023-12-31,2022-06-26
NAM,Namibia,556375.0,82629.0,482539.0,903935.0,36.0,22.0,3.0,19.0,2021-03-19,2023-12-31,2022-07-31
NAM,Namibia,583889.0,136928.0,510333.0,943372.0,37.0,23.0,5.0,20.0,2021-03-19,2023-12-31,2022-08-28
NAM,Namibia,592168.0,159210.0,515304.0,956345.0,38.0,23.0,6.0,20.0,2021-03-19,2023-12-31,2022-09-25
NAM,Namibia,596431.0,159381.0,519541.0,963100.0,38.0,23.0,6.0,20.0,2021-03-19,2023-12-31,2022-10-30
NAM,Namibia,599942.0,181190.0,522979.0,968359.0,38.0,24.0,7.0,21.0,2021-03-19,2023-12-31,2022-11-27
NAM,Namibia,604359.0,220960.0,527634.0,974979.0,38.0,24.0,9.0,21.0,2021-03-19,2023-12-31,2022-12-25
NAM,Namibia,607153.0,260730.0,530286.0,978652.0,39.0,24.0,10.0,21.0,2021-03-19,2023-12-31,2023-01-29
NAM,Namibia,609788.0,294111.0,532641.0,981899.0,39.0,24.0,12.0,21.0,2021-03-19,2023-12-31,2023-02-26
NAM,Namibia,614026.0,294832.0,536587.0,987241.0,39.0,24.0,12.0,21.0,2021-03-19,2023-12-31,2023-03-26
NAM,Namibia,615707.0,298376.0,538196.0,989412.0,39.0,24.0,12.0,21.0,2021-03-19,2023-12-31,2023-04-30
NAM,Namibia,617642.0,298560.0,540073.0,991860.0,39.0,24.0,12.0,21.0,2021-03-19,2023-12-31,2023-05-28
NAM,Namibia,621048.0,298560.0,543255.0,996057.0,39.0,24.0,12.0,21.0,2021-03-19,2023-12-31,2023-06-25
NAM,Namibia,627163.0,298560.0,548551.0,1002802.0,39.0,25.0,12.0,22.0,2021-03-19,2023-12-31,2023-07-30
NAM,Namibia,628910.0,298560.0,550143.0,1004904.0,40.0,25.0,12.0,22.0,2021-03-19,2023-12-31,2023-08-27
NAM,Namibia,629559.0,298560.0,550745.0,1005730.0,40.0,25.0,12.0,22.0,2021-03-19,2023-12-31,2023-09-24
NAM,Namibia,629717.0,298560.0,550921.0,1005871.0,40.0,25.0,12.0,22.0,2021-03-19,2023-12-31,2023-10-29
NAM,Namibia,629767.0,298560.0,550978.0,1005937.0,40.0,25.0,12.0,22.0,2021-03-19,2023-12-31,2023-11-26
NAM,Namibia,0.0,0.0,0.0,1060.0,0.0,0.0,0.0,0.0,2021-03-19,2023-12-31,2021-03-28
NAM,Namibia,14069.0,0.0,991.0,15060.0,1.0,1.0,0.0,0.0,2021-03-19,2023-12-31,2021-04-25
NAM,Namibia,67706.0,0.0,8872.0,76578.0,3.0,3.0,0.0,0.0,2021-03-19,2023-12-31,2021-05-30
NAM,Namibia,107979.0,0.0,20905.0,128884.0,5.0,4.0,0.0,1.0,2021-03-19,2023-12-31,2021-06-27
NAM,Namibia,144887.0,0.0,41219.0,186105.0,7.0,6.0,0.0,2.0,2021-03-19,2023-12-31,2021-07-25
NAM,Namibia,211042.0,0.0,112114.0,297066.0,12.0,8.0,0.0,4.0,2021-03-19,2023-12-31,2021-08-29
